SD NEGERI DURI KEPA 01 PG,-6.186258673676007,106.77563911920599
SD NEGERI DURI KEPA 03,-6.174203014980745,106.7747908078221
SD NEGERI DURI KEPA 05 PG (State Primary School Tanjung Duren Selatan 05 Morning),-6.181335686814763,106.78537095889843
SD NEGERI DURI KEPA 07 PG,-6.1639098854398435,106.769206433044
SD NEGERI DURI KEPA 11 PG,-6.18644231494131,106.77529761241955
SD NEGERI DURI KEPA 13,-6.179429995567728,106.77203157214369
SD NEGERI DURI KEPA 16 PG,-6.1731285264462,106.77911859986173
SD NEGERI DURI KEPA 17 PG,-6.172179026710973,106.77930605844045
SD NEGERI KEBON JERUK 01,-6.198255448835377,106.76715119296144
SD NEGERI KEBON JERUK 02 PG,-6.1936013690631935,106.77126607148209
SD NEGERI KEBON JERUK 04 PG,-6.195476100497966,106.77647499467902
SD NEGERI KEBON JERUK 06 PG,-6.193195618588506,106.77322774254053
SD NEGERI KEBON JERUK 08 PAGI,-6.198253594710606,106.76690994069561
SD NEGERI KEBON JERUK 10,-6.200560657657423,106.76792557829613
SD NEGERI KEBON JERUK 11 PAGI,-6.198907924349188,106.77155978140175
SD NEGERI KEBON JERUK 15 PG,-6.202634065798582,106.77609044474883
SD NEGERI KEBON JERUK 17 PAGI (SDN 17 Pagi Jakarta Barat),-6.187409698775668,106.77977316362005
SD NEGERI KEDOYA SELATAN 01 PAGI,-6.183335431143923,106.76115350926547
SD NEGERI KEDOYA SELATAN 04 PG,-6.1836558376084865,106.75897324712736
SD NEGERI KEDOYA UTARA 01,-6.173858082226166,106.75927000594776
SD NEGERI KEDOYA UTARA 03,-6.174265280983818,106.75624098265764
SD NEGERI KEDOYA UTARA 04,-6.170267479426874,106.75947198366256
SD NEGERI KEDOYA UTARA 09,-6.162248645134483,106.76446695827623
SD NEGERI KELAPA DUA 01 PG,-6.207190528879303,106.76889484373089
SD NEGERI KELAPA DUA 03 PG,-6.214334030896934,106.77174923759952
SD NEGERI KELAPA DUA 05 PG,-6.2080372102486665,106.76551425845395
SD NEGERI KELAPA DUA 06 PG,-6.216666907689804,106.76622235389044
SD NEGERI SUKABUMI SELATAN 01,-6.218191760422118,106.76961107080817
SD NEGERI SUKABUMI SELATAN 05 PG,-6.223501503104143,106.77460971925315
SD NEGERI SUKABUMI SELATAN 06 PAGI,-6.22088356950927,106.76986046237622
SD NEGERI SUKABUMI SELATAN 07 PAGI,-6.217519978416054,106.7741545358356
SD NEGERI SUKABUMI UTARA 01 PG,-6.208488604935899,106.7782428839845
SD NEGERI SUKABUMI UTARA 03 PAGI,-6.20356130353717,106.77427210539759
SD NEGERI SUKABUMI UTARA 04 PAGI,-6.2067897422501,106.77246576959841
SD NEGERI SUKABUMI UTARA 05,-6.20336585487597,106.77971164347024
SD NEGERI SUKABUMI UTARA 07,-6.206167626901887,106.783031236626
SD NEGERI SUKABUMI UTARA 09 PG,-6.207268303021872,106.78106016449921
SD AL KAMAL,-6.186999630180601,106.76024815451959
SD ISLAM AL FALAH 3,-6.216417840133774,106.77603768858832
SD ISLAM AL HASANAH,-6.225447948115062,106.70631722705832
SD ISLAM AL KINDY,-6.199962912788965,106.76420104349886
SD IT AL KAWAAKIB,-6.179552657673615,106.76431163943631
SD KEMURNIAN II (Sekolah),-6.168533207297078,106.77940986180751
SD KRISTEN 11 PENABUR,-6.174167194933461,106.76373175402331
SD KRISTEN IPEKA TOMANG (Sekolah),-6.169539366662849,106.7789719892342
SD KRISTEN LEMUEL II,-6.217616255740268,106.76638328989719
SD KRISTEN TUNAS BANGSA GREENVILLE (Sekolah),-6.171914460095119,106.77312264293923
SD MKGR,-6.198824252480296,106.77752877124061
SD PELITA II (Sekolah),-6.1648847724117735,106.77217616180776
SD PROVIDENTIA (Sekolah),-6.166100439195808,106.76370487907695
SD SANTO ANDREAS (Sekolah),-6.1686669031680825,106.75942055031584
SD TERPADU SALWA ISLAMIC SCHOOL,-6.178591224578341,106.75685486303848
SDI AL FALAH I PG,-6.1674302333282665,106.76372356472018
SDI AL-FALAH 01 PT,-6.226407414235771,106.77202957220621
SDI AL-FALAH 02 PAGI,-6.2164198040757315,106.77603707432776
SDK Kalam Kudus II (III),-6.169121898021378,106.71710305191735
SDS Darul Athfal,-6.201519775576347,106.77685467263336
SDS ISLAM TERPADU YASIRU KEBONJERUK,-6.22013131771416,106.76807782355141
SDS SANG TIMUR (Sekolah),-6.189555140200396,106.78026464246908
SDS TARSISIUS II (Sekolah),-6.199586135357168,106.78218499990334
SDS Widuri Jaya,-6.177637217260986,106.77148161833068
SD ICHTHUS SCHOOL (Sekolah),-6.176414513272448,106.76212079502419
SD TUNAS MUDA SCHOOL KEDOYA (Sekolah),-6.1885595203492025,106.76728964189817
SDS BINA BANGSA (Sekolah),-6.188229870545936,106.78136494618307
SDS DHARMA BANGSA (Sekolah),-6.16714251081387,106.77871620135953
